subscription_name,billing_cycle,amount_paid,usage_ratio,awareness_score,necessity_score,has_perks,waste_score,usage_frequency_answer,awareness_answer,necessity_answer
Adobe CC,monthly,4155.62,0.341,8,7,0,55.9,few_times_week,sometimes_notice,essential
Cloud Storage,monthly,2891.79,0.94,2,1,0,37.6,daily,always_notice,essential
Spotify,monthly,2859.67,0.185,10,5,0,63.2,once_twice_week,forget,essential
LinkedIn Premium,monthly,586.12,0.549,2,5,0,49.1,rarely,forget,nice_to_have
Newspaper,yearly,4340.2,0.983,4,9,0,25.1,once_twice_week,always_notice,nice_to_have
Educational Hub,monthly,4010.86,0.619,8,6,0,40.4,daily,always_notice,nice_to_have
Disney+,monthly,1395.76,0.406,10,2,0,48.3,few_times_week,always_notice,nice_to_have
Amazon Prime,yearly,204.75,0.517,10,1,0,38.0,rarely,sometimes_notice,essential
Disney+,yearly,1467.72,0.021,10,9,0,65.7,rarely,forget,fun
Software License,yearly,740.0,0.993,10,5,0,9.4,few_times_month,sometimes_notice,nice_to_have
Newspaper,monthly,520.31,0.359,3,7,0,58.3,few_times_week,forget,essential
Zomato Gold,yearly,2187.36,0.601,7,8,1,31.1,cant_remember,sometimes_notice,essential
Amazon Prime,monthly,4256.97,0.536,10,8,1,32.9,few_times_month,forget,nice_to_have
Software License,monthly,3732.81,0.463,9,6,0,47.3,once_twice_week,forget,fun
LinkedIn Premium,yearly,2687.38,0.061,9,9,0,67.1,few_times_month,sometimes_notice,nice_to_have
Disney+,yearly,1521.88,0.986,7,9,0,10.6,few_times_month,sometimes_notice,essential
Spotify,yearly,3274.35,0.856,10,7,1,16.9,once_twice_week,forget,nice_to_have
Cloud Storage,yearly,383.52,0.118,9,9,0,57.2,once_twice_week,forget,fun
Educational Hub,monthly,3799.86,0.15,1,7,0,80.5,few_times_week,sometimes_notice,fun
Disney+,monthly,3410.43,0.134,4,4,0,80.6,cant_remember,always_notice,fun
Software License,monthly,2291.83,0.303,4,5,1,52.6,daily,forget,nice_to_have
Software License,monthly,1554.81,0.452,5,5,0,54.7,few_times_month,forget,fun
Netflix,yearly,1690.16,0.044,4,2,1,65.5,few_times_week,sometimes_notice,fun
LinkedIn Premium,monthly,4086.11,0.364,4,2,0,67.9,few_times_week,always_notice,nice_to_have
LinkedIn Premium,monthly,2780.31,0.218,9,3,1,48.6,few_times_month,always_notice,fun
Spotify,yearly,2199.86,0.417,5,7,0,54.0,few_times_month,always_notice,essential
Adobe CC,monthly,4891.6,0.604,4,7,1,39.7,few_times_month,forget,nice_to_have
YouTube Premium,monthly,775.42,0.254,6,6,0,60.3,few_times_month,sometimes_notice,essential
LinkedIn Premium,monthly,4544.49,0.79,3,5,0,39.5,few_times_month,forget,nice_to_have
Adobe CC,monthly,1393.4,0.999,10,3,0,11.3,few_times_week,forget,fun
Disney+,monthly,1049.36,0.041,8,9,0,65.0,daily,sometimes_notice,essential
Software License,yearly,2654.55,0.397,9,4,0,52.7,once_twice_week,forget,essential
Zomato Gold,monthly,3410.05,0.358,10,2,1,48.7,few_times_month,sometimes_notice,essential
Disney+,yearly,2881.13,0.514,6,10,1,35.6,few_times_week,sometimes_notice,essential
Gaming Pass,monthly,3586.47,0.798,7,1,1,29.0,rarely,sometimes_notice,fun
LinkedIn Premium,monthly,3717.33,0.429,8,5,1,44.6,rarely,always_notice,essential
Newspaper,yearly,2452.11,0.423,8,1,1,44.7,daily,always_notice,fun
Educational Hub,monthly,4219.65,0.681,5,5,0,41.2,once_twice_week,always_notice,essential
Software License,yearly,4545.39,0.413,10,8,0,46.9,daily,sometimes_notice,fun
